id,file_name,bbox,category_id
1,frame0031_zednode.jpg,"[1165.0, 133.0, 115.0, 146.0]",cucumber
1,frame0031_zednode.jpg,"[42.0, 320.0, 80.0, 67.0]",drawer
1,frame0031_zednode.jpg,"[917.0, 425.0, 71.0, 45.0]",chest of drawers
1,frame0031_zednode.jpg,"[862.0, 557.0, 59.0, 86.0]",handle
1,frame0031_zednode.jpg,"[338.0, 364.0, 36.0, 20.0]","box, basket, case, bin, container"
1,frame0031_zednode.jpg,"[395.0, 359.0, 19.0, 17.0]",toy_cat
1,frame0031_zednode.jpg,"[0.0, 374.0, 478.0, 318.0]",white toy
1,frame0031_zednode.jpg,"[540.0, 417.0, 15.0, 27.0]",garlic
1,frame0031_zednode.jpg,"[424.0, 386.0, 215.0, 276.0]",tomato
1,frame0031_zednode.jpg,"[185.0, 213.0, 94.0, 77.0]",potato
1,frame0031_zednode.jpg,"[411.0, 213.0, 226.0, 65.0]",floor
1,frame0031_zednode.jpg,"[359.0, 231.0, 50.0, 51.0]",wall
1,frame0031_zednode.jpg,"[65.0, 204.0, 70.0, 58.0]",key
1,frame0031_zednode.jpg,"[314.0, 358.0, 28.0, 20.0]",gripper
1,frame0031_zednode.jpg,"[160.0, 263.0, 20.0, 27.0]",door
1,frame0031_zednode.jpg,"[137.0, 254.0, 18.0, 25.0]",poster
1,frame0031_zednode.jpg,"[444.0, 527.0, 51.0, 111.0]",table
1,frame0031_zednode.jpg,"[444.0, 589.0, 53.0, 62.0]",ceiling
2,frame1544.jpg,"[467.0, 397.0, 53.0, 27.0]",green bell pepper
2,frame1544.jpg,"[339.0, 391.0, 115.0, 34.0]",red chili pepper
2,frame1544.jpg,"[536.0, 350.0, 97.0, 74.0]",eggplant
2,frame1544.jpg,"[911.0, 340.0, 106.0, 85.0]",corn
2,frame1544.jpg,"[856.0, 366.0, 62.0, 59.0]",garlic
2,frame1544.jpg,"[712.0, 362.0, 106.0, 62.0]",tomato
2,frame1544.jpg,"[0.0, 0.0, 1280.0, 173.0]",potato
2,frame1544.jpg,"[153.0, 107.0, 148.0, 66.0]",wall
2,frame1544.jpg,"[0.0, 19.0, 245.0, 698.0]",ceiling
3,frame0680_zednode.jpg,"[395.0, 189.0, 13.0, 40.0]",red bell pepper
3,frame0680_zednode.jpg,"[656.0, 141.0, 598.0, 155.0]",toy_cat
3,frame0680_zednode.jpg,"[1097.0, 467.0, 36.0, 25.0]",toy block
3,frame0680_zednode.jpg,"[580.0, 286.0, 621.0, 185.0]",floor
3,frame0680_zednode.jpg,"[471.0, 206.0, 94.0, 92.0]",wall
3,frame0680_zednode.jpg,"[453.0, 218.0, 17.0, 28.0]",gripper
3,frame0680_zednode.jpg,"[712.0, 532.0, 52.0, 37.0]",door
3,frame0680_zednode.jpg,"[1200.0, 93.0, 80.0, 627.0]",poster
3,frame0680_zednode.jpg,"[1019.0, 233.0, 68.0, 56.0]",ceiling
4,frame0944_gripper.jpg,"[60.0, 0.0, 1220.0, 99.0]",cucumber
4,frame0944_gripper.jpg,"[458.0, 506.0, 52.0, 70.0]",corn
4,frame0944_gripper.jpg,"[307.0, 491.0, 105.0, 69.0]",toy_cat
4,frame0944_gripper.jpg,"[0.0, 130.0, 86.0, 88.0]",potato
4,frame0944_gripper.jpg,"[202.0, 172.0, 72.0, 49.0]",wall
4,frame0944_gripper.jpg,"[442.0, 187.0, 61.0, 34.0]",door
4,frame0944_gripper.jpg,"[1039.0, 517.0, 136.0, 62.0]",poster
4,frame0944_gripper.jpg,"[404.0, 186.0, 74.0, 38.0]",table
4,frame0944_gripper.jpg,"[87.0, 97.0, 1142.0, 128.0]",ceiling
5,frame0003.jpg,"[952.0, 261.0, 328.0, 260.0]",carrot
5,frame0003.jpg,"[627.0, 210.0, 57.0, 82.0]",red bell pepper
5,frame0003.jpg,"[0.0, 0.0, 1280.0, 211.0]",drawer
5,frame0003.jpg,"[1059.0, 203.0, 106.0, 76.0]",chest of drawers
5,frame0003.jpg,"[0.0, 164.0, 96.0, 116.0]",handle
5,frame0003.jpg,"[46.0, 27.0, 235.0, 128.0]",toy_cat
5,frame0003.jpg,"[1015.0, 248.0, 15.0, 20.0]",toy block
5,frame0003.jpg,"[1034.0, 253.0, 17.0, 27.0]",garlic
5,frame0003.jpg,"[960.0, 216.0, 54.0, 41.0]",tomato
5,frame0003.jpg,"[757.0, 104.0, 523.0, 182.0]",potato
5,frame0003.jpg,"[887.0, 99.0, 49.0, 189.0]",floor
5,frame0003.jpg,"[440.0, 447.0, 365.0, 273.0]",wall
5,frame0003.jpg,"[0.0, 25.0, 625.0, 268.0]",key
5,frame0003.jpg,"[0.0, 272.0, 294.0, 444.0]",gripper
5,frame0003.jpg,"[11.0, 485.0, 1269.0, 235.0]",door
5,frame0003.jpg,"[1114.0, 445.0, 54.0, 18.0]",poster
5,frame0003.jpg,"[1112.0, 538.0, 58.0, 25.0]",table
5,frame0003.jpg,"[1112.0, 493.0, 55.0, 19.0]",ceiling
6,frame0721_gripper.jpg,"[146.0, 432.0, 45.0, 41.0]",green bell pepper
6,frame0721_gripper.jpg,"[29.0, 447.0, 77.0, 26.0]",red bell pepper
